"Nombre del artículo","Categoría actual","Categoría correcta","Subcategoría actual","Subcategoría correcta","Varietal actual","Varietal correcto","Acción"
"Americano Gancia 450ml","Destilados","Otros","Aperitivos","Aperitivos","","","CORREGIDO"
"Americano Gancia 950ml","Destilados","Otros","Aperitivos","Aperitivos","","","CORREGIDO"
"Chocolate Ferrero Rocher Caja x 4 unidades","Delicatessen","Delicatessen","Ferrero Rocher","Delicatessen","","","CORREGIDO"
"Chocolate Ferrero Rocher Caja x 8 unidades","Delicatessen","Delicatessen","Ferrero Rocher","Delicatessen","","","CORREGIDO"
"Chocolate Ferrero Rocher Estuche Acrilico x 12 unidades","Delicatessen","Delicatessen","Ferrero Rocher","Delicatessen","","","CORREGIDO"
"Chocolate Ferrero Rocher Estuche Acrilico x 24 unidades","Delicatessen","Delicatessen","Ferrero Rocher","Delicatessen","","","CORREGIDO"
"Chocolate Ferrero Rocher Packete x 3 unidades","Delicatessen","Delicatessen","Ferrero Rocher","Delicatessen","","","CORREGIDO"
"Coñac Otard Dupuy 750ml","Vinos","Destilados","Coñac","Coñac","Coñac","","CORREGIDO"
"Coñac Reserva San Juan VSOP Añejo 750ml","Vinos","Destilados","Coñac","Coñac","Coñac","","CORREGIDO"
"Copon Campari Tonic 600ml","Vinos","Cristalería","Otros","Cristalería","Otros","","CORREGIDO"
"Dolce Vino Estuche Cubos de Hielo de Acero Inoxidable x 4 + Pinza","Vinos","Otros","Estuche Especial","Estuche Especial","Estuche Especial","","CORREGIDO"
"Entre Dos Alfajor Blanco Dulce de Leche - Unidad 45g","Delicatessen","Delicatessen","Ferrero Rocher","Delicatessen","","","CORREGIDO"
"Entre Dos Alfajor Negro Dulce de Leche - Unidad 45g","Delicatessen","Delicatessen","Ferrero Rocher","Delicatessen","","","CORREGIDO"
"Gancia Spritz Hibiscus 750ml","Destilados","Otros","Aperitivos","Aperitivos","","","CORREGIDO"
"Gaseosa Ginger Ale NORMAL Classic Cunnington 1500ml","Destilados","Gaseosas","Gaseosa","Gaseosas","","","CORREGIDO"
"Gaseosa Indian Tonica NORMAL (Azul) Cunnington Classic 1500ml","Vinos","Gaseosas","Gaseosa","Gaseosas","Gaseosa","","CORREGIDO"
"Gaseosa Indian Tonica SIN AZUCAR (Gris) Cunnington Sabor Suave 1500ml","Vinos","Gaseosas","Gaseosa","Gaseosas","Gaseosa","","CORREGIDO"
"Gaseosa Pomelo NORMAL Classic Cunnington 1500ml","Vinos","Gaseosas","Gaseosa","Gaseosas","Gaseosa","","CORREGIDO"
"Gin Hilbing London Dry 750ml","Destilados","Destilados","Gin","Gin","Otros","","CORREGIDO"
"Gin Hilbing Malbec 750ml","Destilados","Destilados","Gin","Gin","Malbec","","CORREGIDO"
"Granadina Dellepiane 750ml","Destilados","Otros","Aperitivos","Aperitivos","","","CORREGIDO"
"Graziani Soda Sifon 2000ml","Vinos","Otros","Soda","Soda","Soda","","CORREGIDO"
"Jagermeister 700ml","Destilados","Otros","Aperitivos","Aperitivos","","","CORREGIDO"
"Jagermeister ESTUCHE CON 2 VASOS SHOTS 700ml","Destilados","Otros","Aperitivos","Aperitivos","","","CORREGIDO"
"Licor de Cafe al Whisky Tres Plumas 750ml","Whiskys","Whiskys","Cabernet - Syrah","Whisky","","","CORREGIDO"
"Licor Shanky´s Whip - Whisky y Cafe Blend 700ml","Whiskys","Whiskys","Licor","Whisky","","","CORREGIDO"
"Papas Snacks TAFI CREMA ACIDA Y CEBOLLA Bolsa Pack 100g","Vinos","Accesorios varios","Nachos","Accesorios varios","Nachos","","CORREGIDO"
"Papas Snacks TAFI JAMON Bolsa Pack 100g","Vinos","Accesorios varios","Nachos","Accesorios varios","Nachos","","CORREGIDO"
"Papas Snacks TAFI ONDULADAS Bolsa Pack 100g","Vinos","Accesorios varios","Nachos","Accesorios varios","Nachos","","CORREGIDO"
"Papas Snacks TAFI POLLO AL LIMON Bolsa Pack 100g","Vinos","Accesorios varios","Nachos","Accesorios varios","Nachos","","CORREGIDO"
"Papas Snacks TAFI TRADICIONALES Bolsa Pack 100g","Vinos","Accesorios varios","Nachos","Accesorios varios","Nachos","","CORREGIDO"
"Posavasos Cynar","Vinos","Otros","Otros","Otros","Otros","","CORREGIDO"
"Triple Sec Liqueur Citrique Divine H","Destilados","Otros","Triple Sec","Triple Sec","","","CORREGIDO"
"Vaso Cinzano Segundo","Vinos","Cristalería","Otros","Cristalería","Otros","","CORREGIDO"
"Vaso Cynar Plastico Promocion Individual","Vinos","Cristalería","Cristaleria","Cristalería","Cristaleria","","CORREGIDO"
"Vaso Negroni en Caja Campari","Destilados","Cristalería","Otros","Cristalería","","","CORREGIDO"
"Achaval Ferrer Appellation Lujan de Cuyo Malbec 750ml","Vinos","Vinos","Red Blend","Malbec","Red Blend","Malbec","CORREGIDO"
"Achaval Ferrer Appellation Valle de Uco Malbec 750ml","Vinos","Vinos","Red Blend","Malbec","Red Blend","Malbec","CORREGIDO"
"Achaval Ferrer Singular Merlot Finca Diamante 750ml","Vinos","Vinos","Carmenere","Merlot","Carmenere","Merlot","CORREGIDO"
"Melipal Malbec 750ml","Vinos","Vinos","Cabernet Franc","Malbec","Cabernet Franc","Malbec","CORREGIDO"
